,Year,Gender,Name,Awarded by,Dissertation title,Ref.,Degree
115,1974,(M),Alton Smith Wallace,University of Maryland,Representation theorems for solutions of differential operator equations,[161],Phd
116,1975,(F),Cheryll Suber-Gerelle,Kansas State University,A Markov process for predicting adult student behavior,[162],Phd
0,1942,(M),Socrates Walter Saunders,University of Pittsburgh,Legal aspects of the education of Negroes with special emphasis on the equalization principle,[163],Math Ed
1,1947,(F),Ethel M. Turner,Columbia University,Consumer mathematics in adult education,[164],Math Ed
2,1950,(M),Caldwell Elwood Boulware,Columbia University,The emerging concept of mental arithmetic,[165],Math Ed
3,1951,(M),Theodore A Love,New York University,The relation of achievement in mathematics to certain abilities in problem-solving,[166],Math Ed
4,1954,(F),Angie Turner King,University of Pittsburgh,An analysis of early algebra textbooks used in the American secondary schools before 1900,[167],Math Ed
5,1954,(M),Wendell Primus Jones,University of Chicago,"The Negro press and the higher education of Negroes, 1933-1952: a study of news and opinion on higher education in the three leading Negro newspapers",[168],Math Ed
6,195?,(M),Thomas E Bonner,Oklahoma State University,(Title not identified),[169],Math Ed
7,1956,(M),Henry Madison Eldridge,University of Pittsburgh,A study in the variation in accomplishment and subject preference in different secondary schools,[170],Math Ed
8,1957,(M),Raymond Jackson Pitts,University of Michigan,An analysis and evaluation of supplementary teaching materials found in selected secondary school textbooks,[171],Math Ed
9,1958,(M),James Horatio Means,Oklahoma State University,Objectives of mathematics instruction in seven Texas colleges,[172],Math Ed
10,1959,(M),Major Boyd Jones,Cornell University,"Techniques, methods, procedures and provisions used in selected Maryland public secondary schools in teaching mathematics to rapid learners",[173],Math Ed
11,1960,(F),Lillian Katie Bradley,University of Texas,An evaluation of the effectiveness of a collegiate general mathematics course,[174],Math Ed
12,1961,(F),Sadie Gasaway,Cornell University,The effectiveness of continued testing in mathematics of freshmen of varying proficiencies at Tennessee Agricultural and Industrial State University,[175],Math Ed
13,1962,(F),Louise Nixon Sutton,New York University,Concept learning in trigonometry and analytic geometry at the college level: a comparative study of two methods of teaching trigonometry and analytic geometry at the college level,[176],Math Ed
14,1963,(F),Grace Alele Williams,University of Chicago,Dynamics of education in the birth of a new nation: case study of Nigeria,[177],Math Ed
15,1964,(F),Beryl Eleanor Hunte,New York University,Demonstrative geometry during the twentieth century: an account of the various sequences used in the subject matter of demonstrative geometry from 1900 to the present time,[178],Math Ed
16,1964,(M),Ulysses Hunter,Purdue University,Essential cluster sets,[179],Math Ed
17,1964,(M),Louis Clinton Marshall,American University,Approximately continuous transformations on compact metric spaces,[180],Math Ed
18,1965,(M),John Arthur Jones,Pennsylvania State University,An intensive investigation and analysis of means for improving the mathematics programs in the colleges and universities of the United States with predominantly negro student bodies,[181],Math Ed
19,1966,(M),Eugene William Madison,University of Illinois,Computable algebraic structures and non-standard arithmetic[182],,Math Ed
20,1967,(M),Matthew William Crawford,Colorado State College,An analysis of the mathematics curriculum in the negro public high schools in Louisiana,[183],Math Ed
21,1967,(M),Calvin Elijah King,Ohio State University,A comparative study of the effectiveness of teaching a course in remedial mathematics to college students by television and by the conventional method,[184],Math Ed
22,1967,(M),Irvin Elmer Vance,University of Michigan,Geometries of the Erlanger Program,[185],Math Ed
23,1967,(M),Marcus Harold Whitfield,Oklahoma State University,Theory of maxima and minima and applications,[186],Math Ed
24,1969,(M),Boniface,Iowa State University,Structure of inseparable composites,[187],Math Ed
25,1969,(M),Paul Burgette Mohr,Oklahoma State University,A study of Negro mathematics faculties in predominantly Negro institutions,[188],Math Ed
26,1969,(M),William Percy Hytche,Oklahoma State University,A comparative analysis of four methods of instruction in mathematics,[189],Math Ed
27,1969,(M),Benjamin Joseph Martin (wikidata),Purdue University,On a new integral equation arising in the theory of radiative transfer,[190],Math Ed
28,1969,(M),Richard Lionel Price,Ohio State University,Scholastic aptitude test in mathematics as a predictor of student selection of algebraic versus geometric approaches to problem solving,[191],Math Ed
29,1969,(M),Washington Theophilus Taylor,Oklahoma State University,A cross sectional study of the modification of attitudes of selected prospective elementary school teachers toward mathematics,[192],Math Ed
30,1969,(M),Vernon Williams,Oklahoma State University,A multi-predictive measure to predict success at two levels in freshman college mathematics,[193],Math Ed
31,1970,(F),Genevieve Madeline Knight,University of Maryland,The effect of a sub-culturally appropriate language upon achievement in mathematical content,[194],Math Ed
32,1970,(F),Joella Hardeman Gipson,University of Illinois,Teaching probability in the elementary school: an exploratory study,[195],Math Ed
33,1970,(M),David James Hickman,University of Notre Dame,The Tschebyscheff polynomials for regular polygons inscribed in the unit circle of the complex plane,[196],Math Ed
34,1970,(M),Rufus Grier Pettis,Oklahoma State University,An analysis of the methods being used to make provisions for outstanding high school mathematics students in North Carolina,[197],Math Ed
35,1973,(F),Therese Hance Braithwaite,"University of California, Berkeley",The development of a function theory in education based on a construct of a unity,[198],Math Ed
36,1974,(F),Della Pearl Domonek Bell,University of Texas,Some characteristics of high- and low- achieving seventh grade Black students in mathematics,[199],Math Ed
37,1975,(M),Freeman Alphonsa Hrabowski III,University of Illinois,A comparison of the graduate academic performance of black students who graduated from predominantly black colleges and from predominantly white colleges,[200],Math Ed
